S.N;X1;X2;X3;X4;Dry Weight
1;10;3;1.5;25;0.5056
2;20;3;1.5;25;0.62205
3;10;6;1.5;25;0.683
4;20;6;1.5;25;0.35209
5;15;4.5;1;15;0.6245
6;15;4.5;2;15;0.61
7;15;4.5;1;35;1.6523
8;15;4.5;2;35;0.8565
9;10;4.5;1.5;15;0.2589
10;20;4.5;1.5;15;0.1843
11;10;4.5;1.5;35;0.972
12;20;4.5;1.5;35;0.876
13;15;3;1;25;1.0198
14;15;6;1;25;1.2091
15;15;3;2;25;1.219
16;15;4.5;2;25;0.4863
17;10;4.5;1;25;1.007
18;20;4.5;1;25;0.701
19;10;4.5;2;25;0.326
20;20;3;2;25;0.3887
21;15;6;1.5;15;0.547
22;15;3;1.5;15;0.442
23;15;6;1.5;35;1.2043
24;15;4.5;1.5;35;1.20534
25;15;4.5;1.5;25;1.6315
26;15;4.5;1.5;25;1.6219
27;15;4.5;1.5;25;1.6191
